ts,open,high,low,close,vol,bin
1767540120000,0.12471,0.12476,0.1245,0.12454,105444.0,"(0.124, 0.125]"
1767540180000,0.12455,0.12476,0.12454,0.12476,50524.0,"(0.124, 0.125]"
1767540240000,0.12476,0.1248,0.12454,0.12456,57059.0,"(0.124, 0.125]"
1767540300000,0.12455,0.12459,0.12412,0.12421,294395.0,"(0.124, 0.125]"
1767540360000,0.12422,0.1245,0.12422,0.1245,75884.0,"(0.124, 0.125]"
1767540420000,0.12449,0.12457,0.12447,0.12447,23205.0,"(0.124, 0.125]"
1767540480000,0.12449,0.12459,0.12449,0.12459,13302.0,"(0.124, 0.125]"
1767540540000,0.12457,0.1246,0.12454,0.12457,5901.0,"(0.124, 0.125]"
1767540600000,0.12458,0.12461,0.12443,0.12456,37158.0,"(0.124, 0.125]"
1767540660000,0.12456,0.12472,0.12455,0.12468,79255.0,"(0.124, 0.125]"
1767540720000,0.12468,0.12472,0.12467,0.12472,7019.0,"(0.124, 0.125]"
1767540780000,0.12472,0.12481,0.12472,0.12481,4718.0,"(0.124, 0.125]"
1767540840000,0.1248,0.12489,0.1248,0.12485,49521.0,"(0.124, 0.125]"
1767540900000,0.12483,0.1249,0.12481,0.1249,3721.0,"(0.124, 0.125]"
1767540960000,0.1249,0.1249,0.12478,0.12487,40775.0,"(0.124, 0.125]"
1767541020000,0.12487,0.12487,0.12455,0.12469,206029.0,"(0.124, 0.125]"
1767541080000,0.12464,0.12482,0.12461,0.1247,177758.0,"(0.124, 0.125]"
1767541140000,0.12467,0.12468,0.12461,0.12464,22699.0,"(0.124, 0.125]"
1767541200000,0.12464,0.1247,0.12462,0.12464,20848.0,"(0.124, 0.125]"
1767541260000,0.12464,0.12489,0.12464,0.12484,38242.0,"(0.124, 0.125]"
1767541320000,0.12481,0.1249,0.12475,0.12478,9838.0,"(0.124, 0.125]"
1767541380000,0.12477,0.1249,0.12477,0.12483,21469.0,"(0.124, 0.125]"
1767541440000,0.12483,0.12494,0.12483,0.12487,20058.0,"(0.124, 0.125]"
1767541500000,0.12488,0.12492,0.12474,0.12481,156351.0,"(0.124, 0.125]"
1767541560000,0.1248,0.12483,0.12461,0.12471,26713.0,"(0.124, 0.125]"
1767541620000,0.12471,0.12474,0.1247,0.12471,7992.0,"(0.124, 0.125]"
1767541680000,0.12471,0.12476,0.1247,0.12476,25343.0,"(0.124, 0.125]"
1767541740000,0.12476,0.12502,0.12476,0.12501,60962.0,"(0.124, 0.125]"
1767541800000,0.12502,0.1251,0.12502,0.12509,11838.0,"(0.124, 0.125]"
1767541860000,0.1251,0.12513,0.12501,0.12513,78886.0,"(0.124, 0.125]"
1767541920000,0.12513,0.12524,0.12508,0.1252,69923.0,"(0.124, 0.125]"
1767541980000,0.12519,0.12519,0.12503,0.12507,77643.0,"(0.124, 0.125]"
1767542040000,0.12507,0.12513,0.12493,0.12512,40953.0,"(0.124, 0.125]"
1767542100000,0.12512,0.12526,0.1251,0.12522,61147.0,"(0.124, 0.125]"
1767542160000,0.12521,0.12529,0.12517,0.12524,14975.0,"(0.125, 0.127]"
1767542220000,0.12524,0.12537,0.12518,0.12518,59709.0,"(0.124, 0.125]"
1767542280000,0.12517,0.12534,0.12517,0.12532,20142.0,"(0.125, 0.127]"
1767542340000,0.12533,0.12534,0.12517,0.12524,117933.0,"(0.125, 0.127]"
1767542400000,0.12524,0.12533,0.12516,0.12524,42036.0,"(0.125, 0.127]"
1767542460000,0.12525,0.1253,0.12507,0.12514,20056.0,"(0.124, 0.125]"
1767542520000,0.12514,0.12514,0.12497,0.12497,50444.0,"(0.124, 0.125]"
1767542580000,0.12497,0.12507,0.12497,0.12501,53196.0,"(0.124, 0.125]"
1767542640000,0.12501,0.12516,0.12497,0.12516,62226.0,"(0.124, 0.125]"
1767542700000,0.12517,0.12529,0.12517,0.12526,30813.0,"(0.124, 0.125]"
1767542760000,0.12526,0.12533,0.12524,0.12527,78099.0,"(0.125, 0.127]"
1767542820000,0.12531,0.12587,0.12531,0.12532,710228.0,"(0.125, 0.127]"
1767542880000,0.12534,0.1254,0.12526,0.12531,26619.0,"(0.125, 0.127]"
1767542940000,0.12528,0.12537,0.12528,0.12533,5471.0,"(0.125, 0.127]"
1767543000000,0.12534,0.12534,0.12525,0.12529,24469.0,"(0.125, 0.127]"
1767543060000,0.1253,0.12532,0.12528,0.12529,8353.0,"(0.125, 0.127]"
1767543120000,0.12528,0.12532,0.12519,0.12528,12973.0,"(0.125, 0.127]"
1767543180000,0.12531,0.1254,0.12531,0.12539,10680.0,"(0.125, 0.127]"
1767543240000,0.12541,0.12547,0.12536,0.12542,20127.0,"(0.125, 0.127]"
1767543300000,0.12546,0.12555,0.12546,0.12555,15515.0,"(0.125, 0.127]"
1767543360000,0.12555,0.12589,0.12555,0.12588,76055.0,"(0.125, 0.127]"
1767543420000,0.12588,0.12595,0.1257,0.12573,151424.0,"(0.125, 0.127]"
1767543480000,0.12572,0.12572,0.12541,0.12562,88108.0,"(0.125, 0.127]"
1767543540000,0.12562,0.12564,0.12553,0.12555,9591.0,"(0.125, 0.127]"
1767543600000,0.12555,0.1256,0.12545,0.12555,22433.0,"(0.125, 0.127]"
1767543660000,0.12553,0.12569,0.12547,0.12553,147566.0,"(0.125, 0.127]"
1767543720000,0.12553,0.1256,0.12538,0.12545,135705.0,"(0.125, 0.127]"
1767543780000,0.12544,0.12564,0.12544,0.12562,15658.0,"(0.125, 0.127]"
1767543840000,0.12562,0.12568,0.12556,0.12565,8065.0,"(0.125, 0.127]"
1767543900000,0.12565,0.1257,0.12559,0.12564,19140.0,"(0.125, 0.127]"
1767543960000,0.12564,0.12564,0.12553,0.12553,16338.0,"(0.125, 0.127]"
1767544020000,0.12554,0.12561,0.12553,0.12557,19934.0,"(0.125, 0.127]"
1767544080000,0.12556,0.12574,0.12547,0.1255,104376.0,"(0.125, 0.127]"
1767544140000,0.1255,0.12552,0.12542,0.12549,11468.0,"(0.125, 0.127]"
1767544200000,0.12547,0.12553,0.12541,0.12541,25235.0,"(0.125, 0.127]"
1767544260000,0.12541,0.12566,0.12537,0.12563,293984.0,"(0.125, 0.127]"
1767544320000,0.12565,0.12586,0.12565,0.12586,13469.0,"(0.125, 0.127]"
1767544380000,0.12588,0.12596,0.12586,0.12592,13759.0,"(0.125, 0.127]"
1767544440000,0.12592,0.12592,0.1254,0.12577,256699.0,"(0.125, 0.127]"
1767544500000,0.12576,0.12579,0.12567,0.12569,13902.0,"(0.125, 0.127]"
1767544560000,0.12569,0.12569,0.1256,0.12562,56987.0,"(0.125, 0.127]"
1767544620000,0.12562,0.12562,0.12536,0.12545,82755.0,"(0.125, 0.127]"
1767544680000,0.12542,0.12543,0.12537,0.1254,8663.0,"(0.125, 0.127]"
1767544740000,0.12539,0.12544,0.12529,0.12536,21019.0,"(0.125, 0.127]"
